DayOfWeek,OriginWac,DestWac,Distance,CRSDepTime,CRSArrTime,DepDelayMinutes,ArrDelayMinutes
2,38,73,1049.0,2017,2211,0.0,0.0
3,38,73,1049.0,2017,2211,19.0,1.0
4,38,73,1049.0,2017,2211,0.0,0.0
7,38,73,1049.0,2017,2211,7.0,0.0
1,38,73,1049.0,2017,2211,95.0,1.0
2,38,73,1049.0,2017,2211,13.0,1.0
3,38,73,1049.0,2017,2211,4.0,1.0
4,38,73,1049.0,2017,2211,11.0,1.0
7,38,73,1049.0,2017,2211,0.0,0.0
5,36,64,708.0,1643,1802,0.0,1.0
6,36,64,708.0,1637,1754,0.0,0.0
1,36,64,708.0,1643,1802,30.0,1.0
4,36,64,708.0,1643,1802,0.0,0.0
5,36,64,708.0,1643,1802,0.0,0.0
6,36,64,708.0,1637,1754,32.0,1.0
7,36,64,708.0,1643,1802,13.0,1.0
1,36,64,708.0,1643,1802,0.0,0.0
4,36,64,708.0,1643,1802,0.0,0.0
5,36,64,708.0,1643,1802,20.0,1.0
6,36,64,708.0,1637,1754,101.0,1.0
7,36,64,708.0,1643,1802,0.0,1.0
1,36,64,708.0,1643,1802,0.0,0.0
4,36,64,708.0,1643,1802,45.0,1.0
5,36,64,708.0,1643,1802,0.0,1.0
6,36,64,708.0,1637,1754,0.0,0.0
7,36,64,708.0,1643,1802,1.0,0.0
1,36,64,708.0,1643,1802,0.0,1.0
4,36,64,708.0,1643,1802,0.0,1.0
5,36,64,708.0,1643,1802,0.0,0.0
6,36,64,708.0,1637,1754,0.0,1.0
5,64,36,708.0,1832,2143,21.0,1.0
6,64,36,708.0,1832,2143,0.0,0.0
1,64,36,708.0,1832,2143,15.0,0.0
4,64,36,708.0,1832,2143,0.0,1.0
5,64,36,708.0,1832,2143,13.0,0.0
6,64,36,708.0,1832,2143,63.0,1.0
7,64,36,708.0,1832,2143,4.0,1.0
1,64,36,708.0,1832,2143,0.0,0.0
4,64,36,708.0,1832,2143,0.0,0.0
5,64,36,708.0,1832,2143,13.0,0.0
6,64,36,708.0,1832,2143,75.0,1.0
7,64,36,708.0,1832,2143,28.0,1.0
1,64,36,708.0,1832,2143,3.0,1.0
4,64,36,708.0,1832,2143,64.0,1.0
5,64,36,708.0,1832,2143,19.0,1.0
6,64,36,708.0,1832,2143,0.0,0.0
7,64,36,708.0,1832,2143,30.0,1.0
1,64,36,708.0,1832,2143,139.0,1.0
4,64,36,708.0,1832,2143,11.0,1.0
5,64,36,708.0,1832,2143,0.0,0.0
6,64,36,708.0,1832,2143,27.0,1.0
5,61,36,742.0,700,1012,0.0,0.0
6,61,36,742.0,700,1012,0.0,0.0
7,61,36,742.0,700,1012,0.0,0.0
1,61,36,742.0,700,1012,0.0,0.0
2,61,36,742.0,700,1012,1.0,1.0
3,61,36,742.0,700,1012,0.0,1.0
4,61,36,742.0,700,1012,1.0,0.0
5,61,36,742.0,700,1012,1.0,1.0
6,61,36,742.0,700,1012,13.0,1.0
7,61,36,742.0,700,1012,0.0,0.0
1,61,36,742.0,700,1012,28.0,1.0
2,61,36,742.0,700,1012,0.0,0.0
3,61,36,742.0,700,1012,0.0,0.0
4,61,36,742.0,700,1012,0.0,0.0
5,61,36,742.0,700,1012,0.0,0.0
6,61,36,742.0,700,1012,0.0,0.0
7,61,36,742.0,700,1012,10.0,1.0
1,61,36,742.0,700,1012,0.0,0.0
2,61,36,742.0,700,1012,0.0,0.0
3,61,36,742.0,700,1012,0.0,0.0
4,61,36,742.0,700,1012,0.0,0.0
5,61,36,742.0,700,1012,0.0,0.0
6,61,36,742.0,700,1012,0.0,0.0
7,61,36,742.0,700,1012,0.0,1.0
1,61,36,742.0,700,1012,0.0,0.0
2,61,36,742.0,700,1012,4.0,1.0
3,61,36,742.0,700,1012,0.0,0.0
4,61,36,742.0,700,1012,0.0,0.0
5,61,36,742.0,700,1012,0.0,0.0
6,61,36,742.0,700,1012,0.0,0.0
7,61,36,742.0,700,1012,0.0,0.0
5,33,38,634.0,1203,1359,0.0,0.0
6,33,38,634.0,1203,1359,0.0,0.0
7,33,38,634.0,1203,1359,0.0,0.0
1,33,38,634.0,1203,1359,0.0,0.0
3,33,38,634.0,1203,1359,0.0,0.0
4,33,38,634.0,1203,1359,0.0,0.0
6,33,38,634.0,1203,1359,0.0,0.0
7,33,38,634.0,1203,1359,0.0,1.0
1,33,38,634.0,1203,1359,3.0,1.0
