DayOfWeek,OriginWac,DestWac,Distance,CRSDepTime,CRSArrTime,DepDelayMinutes,ArrDelayMinutes
2,38,73,2.0,2,2,0.0,0.0
3,38,73,2.0,2,2,3.0,1.0
4,38,73,2.0,2,2,0.0,0.0
7,38,73,2.0,2,2,2.0,0.0
1,38,73,2.0,2,2,3.0,1.0
2,38,73,2.0,2,2,3.0,1.0
3,38,73,2.0,2,2,1.0,1.0
4,38,73,2.0,2,2,3.0,1.0
7,38,73,2.0,2,2,0.0,0.0
5,36,64,1.0,1,2,0.0,1.0
6,36,64,1.0,1,2,0.0,0.0
1,36,64,1.0,1,2,3.0,1.0
4,36,64,1.0,1,2,0.0,0.0
5,36,64,1.0,1,2,0.0,0.0
6,36,64,1.0,1,2,3.0,1.0
7,36,64,1.0,1,2,3.0,1.0
1,36,64,1.0,1,2,0.0,0.0
4,36,64,1.0,1,2,0.0,0.0
5,36,64,1.0,1,2,3.0,1.0
6,36,64,1.0,1,2,3.0,1.0
7,36,64,1.0,1,2,0.0,1.0
1,36,64,1.0,1,2,0.0,0.0
4,36,64,1.0,1,2,3.0,1.0
5,36,64,1.0,1,2,0.0,1.0
6,36,64,1.0,1,2,0.0,0.0
7,36,64,1.0,1,2,1.0,0.0
1,36,64,1.0,1,2,0.0,1.0
4,36,64,1.0,1,2,0.0,1.0
5,36,64,1.0,1,2,0.0,0.0
6,36,64,1.0,1,2,0.0,1.0
5,64,36,1.0,2,2,3.0,1.0
6,64,36,1.0,2,2,0.0,0.0
1,64,36,1.0,2,2,3.0,0.0
4,64,36,1.0,2,2,0.0,1.0
5,64,36,1.0,2,2,3.0,0.0
6,64,36,1.0,2,2,3.0,1.0
7,64,36,1.0,2,2,1.0,1.0
1,64,36,1.0,2,2,0.0,0.0
4,64,36,1.0,2,2,0.0,0.0
5,64,36,1.0,2,2,3.0,0.0
6,64,36,1.0,2,2,3.0,1.0
7,64,36,1.0,2,2,3.0,1.0
1,64,36,1.0,2,2,1.0,1.0
4,64,36,1.0,2,2,3.0,1.0
5,64,36,1.0,2,2,3.0,1.0
6,64,36,1.0,2,2,0.0,0.0
7,64,36,1.0,2,2,3.0,1.0
1,64,36,1.0,2,2,3.0,1.0
4,64,36,1.0,2,2,3.0,1.0
5,64,36,1.0,2,2,0.0,0.0
6,64,36,1.0,2,2,3.0,1.0
5,61,36,1.0,0,1,0.0,0.0
6,61,36,1.0,0,1,0.0,0.0
7,61,36,1.0,0,1,0.0,0.0
1,61,36,1.0,0,1,0.0,0.0
2,61,36,1.0,0,1,1.0,1.0
3,61,36,1.0,0,1,0.0,1.0
4,61,36,1.0,0,1,1.0,0.0
5,61,36,1.0,0,1,1.0,1.0
6,61,36,1.0,0,1,3.0,1.0
7,61,36,1.0,0,1,0.0,0.0
1,61,36,1.0,0,1,3.0,1.0
2,61,36,1.0,0,1,0.0,0.0
3,61,36,1.0,0,1,0.0,0.0
4,61,36,1.0,0,1,0.0,0.0
5,61,36,1.0,0,1,0.0,0.0
6,61,36,1.0,0,1,0.0,0.0
7,61,36,1.0,0,1,3.0,1.0
1,61,36,1.0,0,1,0.0,0.0
2,61,36,1.0,0,1,0.0,0.0
3,61,36,1.0,0,1,0.0,0.0
4,61,36,1.0,0,1,0.0,0.0
5,61,36,1.0,0,1,0.0,0.0
6,61,36,1.0,0,1,0.0,0.0
7,61,36,1.0,0,1,0.0,1.0
1,61,36,1.0,0,1,0.0,0.0
2,61,36,1.0,0,1,1.0,1.0
3,61,36,1.0,0,1,0.0,0.0
4,61,36,1.0,0,1,0.0,0.0
5,61,36,1.0,0,1,0.0,0.0
6,61,36,1.0,0,1,0.0,0.0
7,61,36,1.0,0,1,0.0,0.0
5,33,38,1.0,1,1,0.0,0.0
6,33,38,1.0,1,1,0.0,0.0
7,33,38,1.0,1,1,0.0,0.0
1,33,38,1.0,1,1,0.0,0.0
3,33,38,1.0,1,1,0.0,0.0
4,33,38,1.0,1,1,0.0,0.0
6,33,38,1.0,1,1,0.0,0.0
7,33,38,1.0,1,1,0.0,1.0
1,33,38,1.0,1,1,1.0,1.0
2,33,38,1.0,1,1,0.0,0.0
3,33,38,1.0,1,1,1.0,0.0
4,33,38,1.0,1,1,0.0,0.0
5,33,38,1.0,1,1,0.0,0.0
6,33,38,1.0,1,1,2.0,1.0
7,33,38,1.0,1,1,0.0,0.0
1,33,38,1.0,1,1,0.0,0.0
2,33,38,1.0,1,1,0.0,0.0
3,33,38,1.0,1,1,0.0,0.0
4,33,38,1.0,1,1,0.0,1.0
5,33,38,1.0,1,1,0.0,0.0
6,33,38,1.0,1,1,0.0,0.0
7,33,38,1.0,1,1,0.0,0.0
1,33,38,1.0,1,1,0.0,1.0
2,33,38,1.0,1,1,0.0,0.0
3,33,38,1.0,1,1,0.0,0.0
4,33,38,1.0,1,1,0.0,0.0
5,33,38,1.0,1,1,0.0,0.0
6,33,38,1.0,1,1,0.0,0.0
7,33,38,1.0,1,1,2.0,1.0
5,38,44,0.0,2,2,0.0,1.0
6,38,44,0.0,2,2,3.0,1.0
7,38,44,0.0,2,2,0.0,0.0
1,38,44,0.0,2,2,0.0,0.0
2,38,44,0.0,2,2,3.0,1.0
4,38,44,0.0,2,2,2.0,0.0
5,38,44,0.0,2,2,0.0,0.0
6,38,44,0.0,2,2,0.0,0.0
7,38,44,0.0,2,2,2.0,1.0
1,38,44,0.0,2,2,3.0,1.0
3,38,44,0.0,2,2,0.0,0.0
4,38,44,0.0,2,2,0.0,0.0
5,38,44,0.0,2,2,3.0,1.0
6,38,44,0.0,2,2,3.0,1.0
7,38,44,0.0,2,2,3.0,1.0
2,38,44,0.0,2,2,0.0,0.0
3,38,44,0.0,2,2,0.0,0.0
4,38,44,0.0,2,2,3.0,1.0
5,38,44,0.0,2,2,0.0,0.0
